,Id_hecho,N_VICTIMAS,FECHA_x,HORA,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,pos x,pos y,PARTICIPANTES,VICTIMA_x,ACUSADO,AÑO,FECHA_y,AAAA,MM,DD,ROL,VICTIMA_y,SEXO,EDAD,FECHA_FALLECIMIENTO
330,2018-0042,1,2018-04-27,18.0,BRANDSEN y PERDRIEL,CALLE,4,-58.38666024,-34.63953396,MOTO-CARGAS,MOTO,CARGAS,2018,2018-04-27,2018,4,27,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,23,2018-04-27 00:00:00
331,2018-0043,1,2018-04-28,6.0,"Vilardebo, Teodoro y Alvarez Jonte Av.",AVENIDA,11,-58.49122843,-34.61207587,MOTO-AUTO,MOTO,AUTO,2018,2018-04-28,2018,4,28,CONDUCTOR,MOTO,MASCULINO,25,2018-04-29 00:00:00
332,2018-0044,1,2018-04-28,9.0,Alberti e Independencia Av.,AVENIDA,3,-58.40098306,-34.61866627,PEATON-AUTO,PEATON,AUTO,2018,2018-04-28,2018,4,28,PEATON,PEATON,FEMENINO,50,2018-04-28 00:00:00
333,2018-0045,1,2018-04-30,7.0,Alvarez Thomas Av. 879,AVENIDA,13,-58.45448963,-34.57916920,AUTO-CARGAS,AUTO,CARGAS,2018,2018-04-30,2018,4,30,CONDUCTOR,AUTO,MASCULINO,60,2018-04-30 00:00:00
334,2018-0046,1,2018-05-02,3.0,Av. Gral. Paz y Av. Rivadavia,AVENIDA,9,-58.52927982,-34.63931752,PEATON-AUTO,PEATON,AUTO,2018,2018-05-02,2018,5,2,PEATON,PEATON,MASCULINO,11,2018-05-02 00:00:00
335,2018-0047,1,2018-05-08,19.0,Av. Corrientes y Av. Dorrego,AVENIDA,15,-58.44759966,-34.59170240,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-05-08,2018,5,8,PEATON,PEATON,MASCULINO,82,2018-05-09 00:00:00
336,2018-0048,1,2018-05-09,10.0,Rivadavia Av. y Pedernera,AVENIDA,7,-58.46411215,-34.62925068,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-05-09,2018,5,9,PEATON,PEATON,MASCULINO,57,2018-05-16 00:00:00
337,2018-0049,1,2018-05-11,19.0,Quesada 2300,CALLE,13,-58.46213220,-34.55395823,PEATON-AUTO,PEATON,AUTO,2018,2018-05-11,2018,5,11,PEATON,PEATON,FEMENINO,40,2018-05-13 00:00:00
338,2018-0050,1,2018-05-14,18.0,Cabildo Av. y Juramento Av.,AVENIDA,13,-58.45669422,-34.56203610,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-05-14,2018,5,14,PEATON,PEATON,FEMENINO,47,2018-05-24 00:00:00
339,2018-0051,1,2018-05-15,21.0,"California y Carbonari, Francisco, Cmte.",CALLE,4,-58.35977160,-34.64341878,PEATON-AUTO,PEATON,AUTO,2018,2018-05-15,2018,5,15,PEATON,PEATON,FEMENINO,57,2018-05-15 00:00:00
340,2018-0052,1,2018-05-18,20.0,"Carril, Salvador Maria Del Av. y Nazca",AVENIDA,15,-58.49820145,-34.59070093,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-05-18,2018,5,18,PEATON,PEATON,MASCULINO,78,2018-05-19 00:00:00
341,2018-0053,1,2018-05-20,2.0,San Luis y Aguero,CALLE,3,-58.41059280,-34.59939180,MOTO-AUTO,MOTO,AUTO,2018,2018-05-20,2018,5,20,CONDUCTOR,MOTO,MASCULINO,43,2018-05-20 00:00:00
342,2018-0054,1,2018-05-22,11.0,Lugones 2430,CALLE,12,-58.47969138,-34.57121563,PEATON-BICICLETA,PEATON,BICICLETA,2018,2018-05-22,2018,5,22,PEATON,PEATON,FEMENINO,86,2018-05-25 00:00:00
343,2018-0055,1,2018-05-29,7.0,Independencia Av. y Jujuy Av.,AVENIDA,3,-58.40351561,-34.61883916,MOTO-AUTO,MOTO,AUTO,2018,2018-05-29,2018,5,29,CONDUCTOR,MOTO,MASCULINO,21,2018-05-29 00:00:00
344,2018-0056,1,2018-06-02,13.0,Av. Rivadavia 11050,AVENIDA,9,-58.51973844,-34.63918987,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-06-02,2018,6,2,PEATON,PEATON,FEMENINO,69,2018-06-04 00:00:00
345,2018-0057,1,2018-06-03,3.0,Combate De Los Pozos y Humberto 1°,CALLE,3,-58.39311376,-34.62163006,MOTO-PASAJEROS,MOTO,PASAJEROS,2018,2018-06-03,2018,6,3,CONDUCTOR,MOTO,MASCULINO,33,2018-06-04 00:00:00
346,2018-0058,1,2018-06-03,6.0,Cordoba Av. y Thames,AVENIDA,15,-58.43531242,-34.59082159,MOTO-AUTO,MOTO,AUTO,2018,2018-06-03,2018,6,3,CONDUCTOR,MOTO,MASCULINO,26,2018-06-13 00:00:00
347,2018-0059,1,2018-06-08,6.0,"Garay, Juan De Av. y Sanchez De Loria",AVENIDA,5,-58.41178165,-34.63035454,MOTO-MOVIL,MOTO,OTRO,2018,2018-06-08,2018,6,8,CONDUCTOR,MOTO,MASCULINO,54,2018-06-08 00:00:00
348,2018-0060,1,2018-06-08,12.0,"Lavalle y Alem, Leandro N. Av.",AVENIDA,1,-58.37048800,-34.60189492,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-06-08,2018,6,8,PEATON,PEATON,MASCULINO,51,2018-06-08 00:00:00
349,2018-0061,1,2018-06-10,11.0,Estados Unidos y Pichincha,CALLE,3,-58.39883882,-34.61964833,MOTO-MOTO,MOTO,MOTO,2018,2018-06-10,2018,6,10,CONDUCTOR,MOTO,MASCULINO,51,2018-06-10 00:00:00
350,2018-0062,1,2018-06-14,1.0,Rosario y Barco Centenera Del,CALLE,6,-58.44110156,-34.62082399,PEATON-CARGAS,PEATON,CARGAS,2018,2018-06-14,2018,6,14,PEATON,PEATON,MASCULINO,32,2018-06-14 00:00:00
351,2018-0063,1,2018-06-16,21.0,Av. Leandro N. Alem y Viamonte,AVENIDA,1,-58.37093138,-34.59952725,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-06-16,2018,6,16,PEATON,PEATON,FEMENINO,28,2018-06-17 00:00:00
352,2018-0064,1,2018-06-25,1.0,Varela Av. y Primera Junta,AVENIDA,7,-58.45855262,-34.63953253,AUTO-CARGAS,AUTO,CARGAS,2018,2018-06-25,2018,6,25,CONDUCTOR,AUTO,MASCULINO,30,2018-06-25 00:00:00
